Date	Name	Year	Letterboxd URI	Rating	Rewatch	Tags	Watched Date	Genre	Language	Country	Director	Revenue	Budget
2019-10-10	Next Floor	2008	https://boxd.it/PNSCP	5,00			2019-10-09	Comedy	en	Canada	Denis Villeneuve	0	0
2019-10-13	District 9	2009	https://boxd.it/PYgyR	3,50			2019-10-12	Science Fiction	en	United States of America	Neill Blomkamp	210800000	30000000
2019-10-14	Filth	2013	https://boxd.it/Q41JR	4,00			2019-10-13	Crime	en	United Kingdom	Jon S. Baird	9114264	5000000
2019-10-20	Mermaid	2007	https://boxd.it/QqvbJ	0,00			2019-10-20	Animation	en	United States of America	Lisa Barcy	0	0
2019-10-21	Ad Astra	2019	https://boxd.it/QsBE7	3,50			2019-10-20	Science Fiction	en	United States of America	James Gray	127461872	87500000
2019-10-23	Knick Knack	1989	https://boxd.it/QDANz	0,00			2019-10-23	Animation	en	United States of America	John Lasseter	123967	0
2019-11-01	The Nightingale	2018	https://boxd.it/R8Uap	0,00			2019-11-01	Drama	en	United States of America	Jennifer Kent	855756	0
2019-11-02	Portrait of a Lady on Fire	2019	https://boxd.it/RbUCJ	5,00			2019-11-01	Drama	fr	France	Céline Sciamma	9923127	5740000
2019-11-02	Interesting Ball	2014	https://boxd.it/RejeV	0,00			2019-11-02	Fantasy	en	United States of America	Daniel Scheinert	0	0
2019-11-03	Scary Stories to Tell in the Dark	2019	https://boxd.it/ReQbv	2,50			2019-11-02	Horror	en	Canada	André Øvredal	104500000	25000000
2019-11-04	Babyteeth	2019	https://boxd.it/Rkjlp	3,00			2019-11-03	Drama	en	Australia	Shannon Murphy	989310	0
2019-11-05	Brokeback Mountain	2005	https://boxd.it/RoB3L	4,00			2019-11-04	Drama	en	Canada	Ang Lee	178043761	14000000
2019-11-06	Anima	2019	https://boxd.it/RrcF7	4,50			2019-11-05	Music	en	United Kingdom	Paul Thomas Anderson	0	0
2019-11-06	Great Poetry	2019	https://boxd.it/Rs8v5	4,00			2019-11-05	Drama	ru	Russia	Alexandr Lungin	0	0
2019-11-07	About Endlessness	2019	https://boxd.it/RujyN	0,00			2019-11-06	Drama	sv	Sweden	Roy Andersson	434977	4700000
2019-11-07	Songs from the Second Floor	2000	https://boxd.it/RvuVF	0,00			2019-11-06	Drama	sv	Denmark	Roy Andersson	80334	0
2019-11-08	A Colony	2018	https://boxd.it/Ry7QX	3,50			2019-11-07	Drama	fr	France	Geneviève Dulude-De Celles	0	0
2019-11-08	Elephant	2003	https://boxd.it/RyTOv	3,00			2019-11-07	Crime	en	United States of America	Gus Van Sant	10000000	3000000
2019-11-09	Genesis	2018	https://boxd.it/RBHGP	4,00			2019-11-08	Science Fiction	en	United States of America	Freddie Hutton-Mills	0	0
2019-11-09	And Then We Danced	2019	https://boxd.it/RCl9r	4,50			2019-11-08	Drama	ka	France	Levan Akın	416167	0
2019-11-11	Call Me by Your Name	2017	https://boxd.it/RKKFj	4,50	Yes		2019-11-10	Romance	en	United States of America	Luca Guadagnino	43143046	4000000
2019-11-13	Sonata for Hitler	1989	https://boxd.it/RSdKB	0,00			2019-11-12	Documentary	ru	Soviet Union	Aleksandr Sokurov	0	0
2019-11-14	Mother and Son	1997	https://boxd.it/RUNFV	0,00			2019-11-13	Drama	ru	Germany	Aleksandr Sokurov	0	0
2019-11-16	The Snails	1966	https://boxd.it/S44jZ	0,00			2019-11-16	Animation	fr	France	René Laloux	0	0
2019-11-17	Ten Minutes Older	1978	https://boxd.it/S5J9N	0,00			2019-11-16	Documentary	xx	Soviet Union	Herz Frank	0	0
2019-11-17	Monster	2005	https://boxd.it/S5NBr	0,00			2019-11-17	Horror	en	United States of America	Jennifer Kent	0	0
2019-11-18	HAIM / Valentine	2017	https://boxd.it/S9oCd	4,50			2019-11-17	Music	en	United States of America	Paul Thomas Anderson	0	0
2019-11-18	The Master	2012	https://boxd.it/SagM7	0,00			2019-11-17	Drama	en	United States of America	Paul Thomas Anderson	28258060	32000000
2019-11-19	Star	2014	https://boxd.it/SdXDX	0,00			2019-11-18	Action	cn	Hong Kong	Sammo Hung	0	9023199
2019-11-22	Honeyland	2019	https://boxd.it/SmG4T	0,00			2019-11-21	Documentary	mk	Macedonia	Ljubomir Stefanov	1133735	0
2019-11-24	Crawl	2019	https://boxd.it/SuxIL	3,00			2019-11-23	Thriller	en	Canada	Alexandre Aja	91500000	13500000
2019-11-26	Sign of Disaster	1987	https://boxd.it/SFTDb	0,00			2019-11-26	War	ru	Soviet Union	Mikhail Ptashuk	0	0
2019-11-27	Sunshine Bob	2006	https://boxd.it/SHbPh	0,00			2019-11-26	Science Fiction	en	United States of America	Christian Simmons	0	0
2019-11-27	The Fall	2019	https://boxd.it/SHd8f	0,00			2019-11-26	Horror	en	United Kingdom	Jonathan Glazer	0	0
2019-11-28	Lady Bird	2017	https://boxd.it/SKL43	5,00	Yes		2019-11-27	Drama	en	United States of America	Greta Gerwig	79000000	10000000
2019-11-30	Ready or Not	2019	https://boxd.it/SS7sv	3,50			2019-11-29	Comedy	en	Canada	Matt Bettinelli-Olpin	57600000	6000000
2019-12-01	Anna	2019	https://boxd.it/SVv49	1,50			2019-11-30	Thriller	fr	Russia	Luc Besson	31626978	34000000
2019-12-04	Unbelievable	2019	https://boxd.it/T9Tdn	4,50			2019-12-03	Documentary	en	United States of America	Robin Davey	0	0
2019-12-05	The Death of Dick Long	2019	https://boxd.it/TdurR	4,50			2019-12-04	Comedy	en	United States of America	Daniel Scheinert	36586	0
2019-12-07	Knives Out	2019	https://boxd.it/TjGZt	4,00			2019-12-06	Comedy	en	United States of America	Rian Johnson	312897920	40000000
2019-12-09	La Belle Époque	2019	https://boxd.it/TrUCp	4,00			2019-12-08	Comedy	fr	France	Nicolas Bedos	13935410	11000000
2019-12-09	Love, Antosha	2019	https://boxd.it/TtE6r	0,00			2019-12-08	Documentary	en	United States of America	Garret Price	0	0
