Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-10-10,Next Floor,2008,https://boxd.it/PNSCP,5,,,2019-10-09
2019-10-13,District 9,2009,https://boxd.it/PYgyR,3.5,,,2019-10-12
2019-10-14,Filth,2013,https://boxd.it/Q41JR,4,,,2019-10-13
2019-10-20,Mermaid,2007,https://boxd.it/QqvbJ,,,,2019-10-20
2019-10-21,Ad Astra,2019,https://boxd.it/QsBE7,3.5,,,2019-10-20
2019-10-23,Knick Knack,1989,https://boxd.it/QDANz,,,,2019-10-23
2019-11-01,The Nightingale,2018,https://boxd.it/R8Uap,,,,2019-11-01
2019-11-02,Portrait of a Lady on Fire,2019,https://boxd.it/RbUCJ,5,,,2019-11-01
2019-11-02,Interesting Ball,2014,https://boxd.it/RejeV,,,,2019-11-02
2019-11-03,Scary Stories to Tell in the Dark,2019,https://boxd.it/ReQbv,2.5,,,2019-11-02
2019-11-04,Babyteeth,2019,https://boxd.it/Rkjlp,3,,,2019-11-03
2019-11-05,Brokeback Mountain,2005,https://boxd.it/RoB3L,4,,,2019-11-04
2019-11-06,Anima,2019,https://boxd.it/RrcF7,4.5,,,2019-11-05
2019-11-06,Great Poetry,2019,https://boxd.it/Rs8v5,4,,,2019-11-05
2019-11-07,About Endlessness,2019,https://boxd.it/RujyN,,,,2019-11-06
2019-11-07,Songs from the Second Floor,2000,https://boxd.it/RvuVF,,,,2019-11-06
2019-11-08,A Colony,2018,https://boxd.it/Ry7QX,3.5,,,2019-11-07
2019-11-08,Elephant,2003,https://boxd.it/RyTOv,3,,,2019-11-07
2019-11-09,Genesis,2018,https://boxd.it/RBHGP,4,,,2019-11-08
2019-11-09,And Then We Danced,2019,https://boxd.it/RCl9r,4.5,,,2019-11-08
2019-11-11,Call Me by Your Name,2017,https://boxd.it/RKKFj,4.5,Yes,,2019-11-10
2019-11-13,Sonata for Hitler,1989,https://boxd.it/RSdKB,,,,2019-11-12
2019-11-14,Mother and Son,1997,https://boxd.it/RUNFV,,,,2019-11-13
2019-11-16,The Snails,1966,https://boxd.it/S44jZ,,,,2019-11-16
2019-11-17,Ten Minutes Older,1978,https://boxd.it/S5J9N,,,,2019-11-16
2019-11-17,Monster,2005,https://boxd.it/S5NBr,,,,2019-11-17
2019-11-18,HAIM / Valentine,2017,https://boxd.it/S9oCd,4.5,,,2019-11-17
2019-11-18,The Master,2012,https://boxd.it/SagM7,,,,2019-11-17
2019-11-19,Star,2014,https://boxd.it/SdXDX,,,,2019-11-18
2019-11-22,Honeyland,2019,https://boxd.it/SmG4T,,,,2019-11-21
2019-11-24,Crawl,2019,https://boxd.it/SuxIL,3,,,2019-11-23
2019-11-26,Sign of Disaster,1987,https://boxd.it/SFTDb,,,,2019-11-26
2019-11-27,Sunshine Bob,2006,https://boxd.it/SHbPh,,,,2019-11-26
2019-11-27,The Fall,2019,https://boxd.it/SHd8f,,,,2019-11-26
2019-11-28,Lady Bird,2017,https://boxd.it/SKL43,5,Yes,,2019-11-27
2019-11-30,Ready or Not,2019,https://boxd.it/SS7sv,3.5,,,2019-11-29
2019-12-01,Anna,2019,https://boxd.it/SVv49,1.5,,,2019-11-30
2019-12-04,Unbelievable,2019,https://boxd.it/T9Tdn,4.5,,,2019-12-03
2019-12-05,The Death of Dick Long,2019,https://boxd.it/TdurR,4.5,,,2019-12-04
2019-12-07,Knives Out,2019,https://boxd.it/TjGZt,4,,,2019-12-06
2019-12-09,La Belle Époque,2019,https://boxd.it/TrUCp,4,,,2019-12-08
2019-12-09,"Love, Antosha",2019,https://boxd.it/TtE6r,,,,2019-12-08
2019-12-12,Marriage Story,2019,https://boxd.it/THBlL,5,,,2019-12-12
